"file","caption","category","png_time","StartTime","basename","dirname","dirname2","path"
"bio1_sizeatage.png","Length at age in the beginning of the year (or season) in the ending year of the model. Shaded area indicates 95% distribution of length at age around estimated growth curve.","Bio",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","bio1_sizeatage.png",".",".","./bio1_sizeatage.png"
"bio2_sizeatage_plus_CV_and_SD.png","Length at age (top-left panel) with CV (thick line) and SD (thin line) of length at age shown in top-right and lower-left panels","Bio",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","bio2_sizeatage_plus_CV_and_SD.png",".",".","./bio2_sizeatage_plus_CV_and_SD.png"
"bio3_sizeatage_plus_WT_and_MAT.png","Length at age (top-left panel) with weight (thick line) and maturity (thin line) shown in top-right and lower-left panels","Bio",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","bio3_sizeatage_plus_WT_and_MAT.png",".",".","./bio3_sizeatage_plus_WT_and_MAT.png"
"bio4_weightatsize.png","Weight-length relationship for females","Bio",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","bio4_weightatsize.png",".",".","./bio4_weightatsize.png"
"bio5_maturity.png","Maturity at length","Bio",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","bio5_maturity.png",".",".","./bio5_maturity.png"
"bio6_fecundity.png","Fecundity","Bio",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","bio6_fecundity.png",".",".","./bio6_fecundity.png"
"bio7_fecundity_wt.png","Fecundity as a function of weight","Bio",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","bio7_fecundity_wt.png",".",".","./bio7_fecundity_wt.png"
"bio8_fecundity_len.png","Fecundity as a function of length","Bio",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","bio8_fecundity_len.png",".",".","./bio8_fecundity_len.png"
"bio9_spawningoutput.png","Spawning output at length","Bio",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","bio9_spawningoutput.png",".",".","./bio9_spawningoutput.png"
"sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel01_multiple_fleets_length1.png",".",".","./sel01_multiple_fleets_length1.png"
"sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel02_multiple_fleets_age1.png",".",".","./sel02_multiple_fleets_age1.png"
"sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel02_multiple_fleets_age2.png",".",".","./sel02_multiple_fleets_age2.png"
"sel03_len_timevary_surf_flt1sex1.png","Surface plot of Female time-varying selectivity for WinterN","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel03_len_timevary_surf_flt1sex1.png",".",".","./sel03_len_timevary_surf_flt1sex1.png"
"sel04_len_timevary_contour_flt1sex1.png","Countour plot of Female time-varying selectivity for WinterN","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel04_len_timevary_contour_flt1sex1.png",".",".","./sel04_len_timevary_contour_flt1sex1.png"
"sel05_timevary_ret_surf_flt1sex1.png","Surface plot of Female time-varying retention for WinterN","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel05_timevary_ret_surf_flt1sex1.png",".",".","./sel05_timevary_ret_surf_flt1sex1.png"
"sel06_timevary_ret_contour_flt1sex1.png","Countour plot of Female time-varying retention for WinterN","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel06_timevary_ret_contour_flt1sex1.png",".",".","./sel06_timevary_ret_contour_flt1sex1.png"
"sel09_len_flt1sex1.png","Female ending year selectivity for WinterN","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel09_len_flt1sex1.png",".",".","./sel09_len_flt1sex1.png"
"sel03_len_timevary_surf_flt1sex2.png","Surface plot of Male time-varying selectivity for WinterN","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel03_len_timevary_surf_flt1sex2.png",".",".","./sel03_len_timevary_surf_flt1sex2.png"
"sel04_len_timevary_contour_flt1sex2.png","Countour plot of Male time-varying selectivity for WinterN","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel04_len_timevary_contour_flt1sex2.png",".",".","./sel04_len_timevary_contour_flt1sex2.png"
"sel05_timevary_ret_surf_flt1sex2.png","Surface plot of Male time-varying retention for WinterN","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel05_timevary_ret_surf_flt1sex2.png",".",".","./sel05_timevary_ret_surf_flt1sex2.png"
"sel06_timevary_ret_contour_flt1sex2.png","Countour plot of Male time-varying retention for WinterN","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel06_timevary_ret_contour_flt1sex2.png",".",".","./sel06_timevary_ret_contour_flt1sex2.png"
"sel09_len_flt1sex2.png","Male ending year selectivity for WinterN","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel09_len_flt1sex2.png",".",".","./sel09_len_flt1sex2.png"
"sel03_len_timevary_surf_flt2sex1.png","Surface plot of Female time-varying selectivity for SummerN","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel03_len_timevary_surf_flt2sex1.png",".",".","./sel03_len_timevary_surf_flt2sex1.png"
"sel04_len_timevary_contour_flt2sex1.png","Countour plot of Female time-varying selectivity for SummerN","Sel",2016-10-25 16:42:14,"StartTime: Tue May 12 11:25:22 2015","sel04_len_timevary_contour_flt2sex1.png",".",".","./sel04_len_timevary_contour_flt2sex1.png"
